namespace,callable,symbol,status,evidence,audit_priority
numpy,numpy.abs,abs,present,exported,critical
numpy,numpy.absolute,absolute,present,exported,critical
numpy,numpy.acos,acos,missing,not_found,critical
numpy,numpy.acosh,acosh,missing,not_found,critical
numpy,numpy.add,add,namespace_mismatch,present_in_module_not_exported,critical
numpy,numpy.all,all,namespace_mismatch,present_in_module_not_exported,critical
numpy,numpy.allclose,allclose,present,exported,critical
numpy,numpy.amax,amax,missing,not_found,critical
numpy,numpy.amin,amin,missing,not_found,critical
numpy,numpy.angle,angle,present,exported,critical
numpy,numpy.any,any,namespace_mismatch,present_in_module_not_exported,critical
numpy,numpy.append,append,present,exported,critical
numpy,numpy.apply_along_axis,apply_along_axis,present,exported,critical
numpy,numpy.apply_over_axes,apply_over_axes,present,exported,critical
numpy,numpy.arange,arange,present,exported,critical
numpy,numpy.arccos,arccos,namespace_mismatch,present_in_module_not_exported,critical
numpy,numpy.arccosh,arccosh,namespace_mismatch,present_in_module_not_exported,critical
numpy,numpy.arcsin,arcsin,namespace_mismatch,present_in_module_not_exported,critical
numpy,numpy.arcsinh,arcsinh,namespace_mismatch,present_in_module_not_exported,critical
numpy,numpy.arctan,arctan,namespace_mismatch,present_in_module_not_exported,critical
numpy,numpy.arctan2,arctan2,namespace_mismatch,present_in_module_not_exported,critical
numpy,numpy.arctanh,arctanh,namespace_mismatch,present_in_module_not_exported,critical
numpy,numpy.argmax,argmax,present,exported,critical
numpy,numpy.argmin,argmin,present,exported,critical
numpy,numpy.argpartition,argpartition,present,exported,critical
numpy,numpy.argsort,argsort,present,exported,critical
numpy,numpy.argwhere,argwhere,present,exported,critical
numpy,numpy.around,around,namespace_mismatch,present_in_module_not_exported,critical
numpy,numpy.array,array,present,exported,critical
numpy,numpy.array2string,array2string,missing,not_found,critical
numpy,numpy.array_equal,array_equal,present,exported,critical
numpy,numpy.array_equiv,array_equiv,present,exported,critical
numpy,numpy.array_repr,array_repr,missing,not_found,critical
numpy,numpy.array_split,array_split,present,exported,critical
numpy,numpy.array_str,array_str,missing,not_found,critical
numpy,numpy.asanyarray,asanyarray,missing,not_found,critical
numpy,numpy.asarray,asarray,missing,not_found,critical
numpy,numpy.asarray_chkfinite,asarray_chkfinite,missing,not_found,critical
numpy,numpy.ascontiguousarray,ascontiguousarray,missing,not_found,critical
numpy,numpy.asfortranarray,asfortranarray,missing,not_found,critical
numpy,numpy.asin,asin,missing,not_found,critical
numpy,numpy.asinh,asinh,missing,not_found,critical
numpy,numpy.asmatrix,asmatrix,missing,not_found,critical
numpy,numpy.astype,astype,missing,not_found,critical
numpy,numpy.atan,atan,missing,not_found,critical
numpy,numpy.atan2,atan2,missing,not_found,critical
numpy,numpy.atanh,atanh,missing,not_found,critical
numpy,numpy.atleast_1d,atleast_1d,present,exported,critical
numpy,numpy.atleast_2d,atleast_2d,present,exported,critical
numpy,numpy.atleast_3d,atleast_3d,present,exported,critical
numpy,numpy.average,average,present,exported,critical
numpy,numpy.bartlett,bartlett,namespace_mismatch,present_in_module_not_exported,critical
numpy,numpy.base_repr,base_repr,missing,not_found,critical
numpy,numpy.binary_repr,binary_repr,missing,not_found,critical
numpy,numpy.bincount,bincount,present,exported,critical
numpy,numpy.bitwise_and,bitwise_and,present,exported,critical
numpy,numpy.bitwise_count,bitwise_count,missing,not_found,critical
numpy,numpy.bitwise_invert,bitwise_invert,missing,not_found,critical
numpy,numpy.bitwise_left_shift,bitwise_left_shift,missing,not_found,critical
numpy,numpy.bitwise_not,bitwise_not,present,exported,critical
numpy,numpy.bitwise_or,bitwise_or,present,exported,critical
numpy,numpy.bitwise_right_shift,bitwise_right_shift,missing,not_found,critical
numpy,numpy.bitwise_xor,bitwise_xor,present,exported,critical
numpy,numpy.blackman,blackman,namespace_mismatch,present_in_module_not_exported,critical
numpy,numpy.block,block,present,exported,critical
numpy,numpy.bmat,bmat,missing,not_found,critical
numpy,numpy.bool,bool,missing,not_found,critical
numpy,numpy.bool_,bool_,missing,not_found,critical
numpy,numpy.broadcast,broadcast,missing,not_found,critical
numpy,numpy.broadcast_arrays,broadcast_arrays,namespace_mismatch,present_in_module_not_exported,critical
numpy,numpy.broadcast_shapes,broadcast_shapes,missing,not_found,critical
numpy,numpy.broadcast_to,broadcast_to,namespace_mismatch,present_in_module_not_exported,critical
numpy,numpy.busday_count,busday_count,namespace_mismatch,present_in_module_not_exported,critical
numpy,numpy.busday_offset,busday_offset,namespace_mismatch,present_in_module_not_exported,critical
numpy,numpy.busdaycalendar,busdaycalendar,missing,not_found,critical
numpy,numpy.byte,byte,missing,not_found,critical
numpy,numpy.bytes_,bytes_,missing,not_found,critical
numpy,numpy.can_cast,can_cast,namespace_mismatch,present_in_module_not_exported,critical
numpy,numpy.cbrt,cbrt,missing,not_found,critical
numpy,numpy.cdouble,cdouble,missing,not_found,critical
numpy,numpy.ceil,ceil,namespace_mismatch,present_in_module_not_exported,critical
numpy,numpy.character,character,missing,not_found,critical
numpy,numpy.choose,choose,present,exported,critical
numpy,numpy.clip,clip,present,exported,critical
numpy,numpy.clongdouble,clongdouble,missing,not_found,critical
numpy,numpy.column_stack,column_stack,present,exported,critical
numpy,numpy.common_type,common_type,missing,not_found,critical
numpy,numpy.complex128,complex128,missing,not_found,critical
numpy,numpy.complex256,complex256,missing,not_found,critical
numpy,numpy.complex64,complex64,missing,not_found,critical
numpy,numpy.complexfloating,complexfloating,missing,not_found,critical
numpy,numpy.compress,compress,present,exported,critical
numpy,numpy.concat,concat,missing,not_found,critical
numpy,numpy.concatenate,concatenate,present,exported,critical
numpy,numpy.conj,conj,present,exported,critical
numpy,numpy.conjugate,conjugate,present,exported,critical
numpy,numpy.convolve,convolve,namespace_mismatch,present_in_module_not_exported,critical
numpy,numpy.copy,copy,present,exported,critical
numpy,numpy.copysign,copysign,present,exported,critical
numpy,numpy.copyto,copyto,missing,not_found,critical
numpy,numpy.corrcoef,corrcoef,present,exported,critical
numpy,numpy.correlate,correlate,present,exported,critical
numpy,numpy.cos,cos,namespace_mismatch,present_in_module_not_exported,critical
numpy,numpy.cosh,cosh,namespace_mismatch,present_in_module_not_exported,critical
numpy,numpy.count_nonzero,count_nonzero,present,exported,critical
numpy,numpy.cov,cov,present,exported,critical
numpy,numpy.cross,cross,present,exported,critical
numpy,numpy.csingle,csingle,missing,not_found,critical
numpy,numpy.cumprod,cumprod,namespace_mismatch,present_in_module_not_exported,critical
numpy,numpy.cumsum,cumsum,namespace_mismatch,present_in_module_not_exported,critical
numpy,numpy.cumulative_prod,cumulative_prod,missing,not_found,critical
numpy,numpy.cumulative_sum,cumulative_sum,missing,not_found,critical
numpy,numpy.datetime64,datetime64,missing,not_found,critical
numpy,numpy.datetime_as_string,datetime_as_string,namespace_mismatch,present_in_module_not_exported,critical
numpy,numpy.datetime_data,datetime_data,namespace_mismatch,present_in_module_not_exported,critical
numpy,numpy.deg2rad,deg2rad,missing,not_found,critical
numpy,numpy.degrees,degrees,namespace_mismatch,present_in_module_not_exported,critical
numpy,numpy.delete,delete,present,exported,critical
numpy,numpy.diag,diag,present,exported,critical
numpy,numpy.diag_indices,diag_indices,missing,not_found,critical
numpy,numpy.diag_indices_from,diag_indices_from,missing,not_found,critical
numpy,numpy.diagflat,diagflat,missing,not_found,critical
numpy,numpy.diagonal,diagonal,present,exported,critical
numpy,numpy.diff,diff,present,exported,critical
numpy,numpy.digitize,digitize,present,exported,critical
numpy,numpy.divide,divide,namespace_mismatch,present_in_module_not_exported,critical
numpy,numpy.divmod,divmod,missing,not_found,critical
numpy,numpy.dot,dot,present,exported,critical
numpy,numpy.double,double,missing,not_found,critical
numpy,numpy.dsplit,dsplit,present,exported,critical
numpy,numpy.dstack,dstack,present,exported,critical
numpy,numpy.dtype,dtype,namespace_mismatch,present_in_module_not_exported,critical
numpy,numpy.ediff1d,ediff1d,present,exported,critical
numpy,numpy.einsum,einsum,present,exported,critical
numpy,numpy.einsum_path,einsum_path,present,exported,critical
numpy,numpy.empty,empty,namespace_mismatch,present_in_module_not_exported,critical
numpy,numpy.empty_like,empty_like,present,exported,critical
numpy,numpy.equal,equal,namespace_mismatch,present_in_module_not_exported,critical
numpy,numpy.errstate,errstate,missing,not_found,critical
numpy,numpy.exp,exp,namespace_mismatch,present_in_module_not_exported,critical
numpy,numpy.exp2,exp2,namespace_mismatch,present_in_module_not_exported,critical
numpy,numpy.expand_dims,expand_dims,present,exported,critical
numpy,numpy.expm1,expm1,namespace_mismatch,present_in_module_not_exported,critical
numpy,numpy.extract,extract,present,exported,critical
numpy,numpy.eye,eye,present,exported,critical
numpy,numpy.fabs,fabs,present,exported,critical
numpy,numpy.fill_diagonal,fill_diagonal,missing,not_found,critical
numpy,numpy.finfo,finfo,missing,not_found,critical
numpy,numpy.fix,fix,namespace_mismatch,present_in_module_not_exported,critical
numpy,numpy.flatiter,flatiter,missing,not_found,critical
numpy,numpy.flatnonzero,flatnonzero,present,exported,critical
numpy,numpy.flexible,flexible,missing,not_found,critical
numpy,numpy.flip,flip,present,exported,critical
numpy,numpy.fliplr,fliplr,missing,not_found,critical
numpy,numpy.flipud,flipud,missing,not_found,critical
numpy,numpy.float128,float128,missing,not_found,critical
numpy,numpy.float16,float16,missing,not_found,critical
numpy,numpy.float32,float32,missing,not_found,critical
numpy,numpy.float64,float64,missing,not_found,critical
numpy,numpy.float_power,float_power,missing,not_found,critical
numpy,numpy.floating,floating,missing,not_found,critical
numpy,numpy.floor,floor,namespace_mismatch,present_in_module_not_exported,critical
numpy,numpy.floor_divide,floor_divide,missing,not_found,critical
numpy,numpy.fmax,fmax,missing,not_found,critical
numpy,numpy.fmin,fmin,missing,not_found,critical
numpy,numpy.fmod,fmod,missing,not_found,critical
numpy,numpy.format_float_positional,format_float_positional,missing,not_found,critical
numpy,numpy.format_float_scientific,format_float_scientific,missing,not_found,critical
numpy,numpy.frexp,frexp,missing,not_found,critical
numpy,numpy.from_dlpack,from_dlpack,missing,not_found,critical
numpy,numpy.frombuffer,frombuffer,present,exported,critical
